unique_id,code,slug,caption,type,is_actual,publ_date,start_date,end_date,version,file
8747,40001,zakon-za-zadalzhitelnoto-depozirane-na-pechatni-i-drugi-proizvedeniya-i-za-obyavyavane-na-razprostranitelite-i-dostavchi,"ЗАКОН за задължителното депозиране на печатни и други произведения и за обявяване на разпространителите и доставчиците на медийни услуги  (Загл. изм. - ДВ, бр. 42 от 2009 г., в сила от 6.07.2009 г., доп., бр. 94 от 2018 г.)",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-zadalzhitelnoto-depozirane-na-pechatni-i-drugi-proizvedeniya-i-za-obyavyavane-na-razprostranitelite-i-dostavchi.json
8772,4001,zakon-za-avtorskoto-pravo-i-srodnite-mu-prava,"ЗАКОН за авторското право и сродните му права",4,true,2024-08-20,2026-01-01,,,laws/zakon-za-avtorskoto-pravo-i-srodnite-mu-prava.json
8964,4007,zakon-za-darzhavnite-taksi,"ЗАКОН за държавните такси",4,true,2021-03-09,2021-03-13,,,laws/zakon-za-darzhavnite-taksi.json
9013,4009,zakon-za-zadalzheniyata-i-dogovorite,"ЗАКОН за задълженията и договорите",4,true,2021-04-27,2021-05-01,,,laws/zakon-za-zadalzheniyata-i-dogovorite.json
9083,4014,zakon-za-otmenyavane-na-vsichki-zakoni-izdadeni-predi-9091944-g,"ЗАКОН за отменяване на всички закони, издадени преди 9.09.1944 г.",4,true,1951-11-20,1951-11-23,,,laws/zakon-za-otmenyavane-na-vsichki-zakoni-izdadeni-predi-9091944-g.json
9096,40142,zakon-za-nasarchavane-na-zaetostta,"ЗАКОН за насърчаване на заетостта",4,true,2025-03-27,2025-01-01,,,laws/zakon-za-nasarchavane-na-zaetostta.json
9100,40144,zakon-za-zashtita-na-lichnite-danni,"ЗАКОН за защита на личните данни",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-zashtita-na-lichnite-danni.json
9136,40158,zakon-za-privatizaciya-i-sledprivatizacionen-kontrol,"ЗАКОН за приватизация и следприватизационен контрол",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-privatizaciya-i-sledprivatizacionen-kontrol.json
9146,40162,zakon-za-semeyni-pomoshti-za-deca,"ЗАКОН за семейни помощи за деца",4,true,2023-08-01,2023-01-01,,,laws/zakon-za-semeyni-pomoshti-za-deca.json
9154,40165,zakon-za-zashtita-na-klasificiranata-informaciya,"ЗАКОН за защита на класифицираната информация",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-zashtita-na-klasificiranata-informaciya.json
9155,40166,zakon-za-izmervaniyata,"ЗАКОН за измерванията",4,true,2024-05-10,2024-05-10,,,laws/zakon-za-izmervaniyata.json
9157,40167,zakon-za-sdelkite-s-kompensatorni-instrumenti,"ЗАКОН за сделките с компенсаторни инструменти",4,true,2019-10-08,2019-10-12,,,laws/zakon-za-sdelkite-s-kompensatorni-instrumenti.json
9171,40172,zakon-za-ubezhishteto-i-bezhancite,"ЗАКОН за убежището и бежанците",4,true,2025-06-27,2025-07-01,,,laws/zakon-za-ubezhishteto-i-bezhancite.json
9206,40182,zakon-za-bezopasno-izpolzvane-na-yadrenata-energiya,"ЗАКОН за безопасно използване на ядрената енергия",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-bezopasno-izpolzvane-na-yadrenata-energiya.json
9229,40193,zakon-za-biologichnoto-raznoobrazie,"ЗАКОН за биологичното разнообразие",4,true,2024-08-20,2024-08-24,,,laws/zakon-za-biologichnoto-raznoobrazie.json
9236,40197,zakon-za-opazvane-na-okolnata-sreda,"ЗАКОН за опазване на околната среда",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-opazvane-na-okolnata-sreda.json
9239,40198,zakon-za-bankovata-nesastoyatelnost,"ЗАКОН за банковата несъстоятелност",4,true,2025-08-15,2026-01-01,,,laws/zakon-za-bankovata-nesastoyatelnost.json
9247,40203,zakon-za-darzhavniya-dalg,"ЗАКОН за държавния дълг",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-darzhavniya-dalg.json
9266,40211,zakon-za-nacionalnata-agenciya-za-prihodite,"ЗАКОН за Националната агенция за приходите",4,true,2026-03-27,2026-03-27,,,laws/zakon-za-nacionalnata-agenciya-za-prihodite.json
9275,40218,zakon-za-veroizpovedaniyata,"ЗАКОН за вероизповеданията",4,true,2025-03-27,2025-01-01,,,laws/zakon-za-veroizpovedaniyata.json
9301,40225,zakon-za-komisiyata-za-finansov-nadzor,"ЗАКОН за Комисията за финансов надзор",4,true,2026-03-10,2026-03-14,,,laws/zakon-za-komisiyata-za-finansov-nadzor.json
9303,40226,zakon-za-darzhavnite-rezervi-i-voennovremennite-zapasi,"ЗАКОН за държавните резерви и военновременните запаси",4,true,2024-05-10,2024-05-10,,,laws/zakon-za-darzhavnite-rezervi-i-voennovremennite-zapasi.json
9335,40244,zakon-za-merkite-sreshtu-finansiraneto-na-terorizma-i-na-razprostranenieto-na-orazhiya-za-masovo-unishtozhenie-zagl-izm-,"ЗАКОН за мерките срещу финансирането на тероризма и на разпространението на оръжия за масово унищожение (Загл. изм. – ДВ, бр. 49 от 2025 г.)",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-merkite-sreshtu-finansiraneto-na-terorizma-i-na-razprostranenieto-na-orazhiya-za-masovo-unishtozhenie-zagl-izm-.json
9339,40248,zakon-za-posevniya-i-posadachniya-material,"ЗАКОН за посевния и посадъчния материал",4,true,2025-11-07,2026-02-09,,,laws/zakon-za-posevniya-i-posadachniya-material.json
9341,40249,zakon-za-kamarite-na-arhitektite-i-inzhenerite-v-investicionnoto-proektirane,"ЗАКОН за камарите на архитектите и инженерите в инвестиционното проектиране",4,true,2025-10-17,2025-10-21,,,laws/zakon-za-kamarite-na-arhitektite-i-inzhenerite-v-investicionnoto-proektirane.json
9366,4026,zakon-za-opazvane-na-selskostopanskoto-imushtestvo,"ЗАКОН за опазване на селскостопанското имущество",4,true,2023-12-08,2023-12-12,,,laws/zakon-za-opazvane-na-selskostopanskoto-imushtestvo.json
9373,40266,zakon-za-borba-s-trafika-na-hora,"ЗАКОН за борба с трафика на хора",4,true,2019-10-15,2019-10-19,,,laws/zakon-za-borba-s-trafika-na-hora.json
9377,40268,zakon-za-ombudsmana,"ЗАКОН за омбудсмана",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-ombudsmana.json
9379,4027,zakon-za-priznavane-uchitelska-pravosposobnost-na-lica-pridobili-prava-na-redovni-uchiteli-v-savetskiya-sayuz,"ЗАКОН за признаване учителска правоспособност на лица, придобили права на редовни учители в Съветския съюз",4,true,1947-02-18,1947-02-21,,,laws/zakon-za-priznavane-uchitelska-pravosposobnost-na-lica-pridobili-prava-na-redovni-uchiteli-v-savetskiya-sayuz.json
9393,40277,zakon-za-ogranichavane-na-administrativnoto-regulirane-i-administrativniya-kontrol-varhu-stopanskata-deynost,"ЗАКОН за ограничаване на административното регулиране и административния контрол върху стопанската дейност",4,true,2025-07-04,2025-07-08,,,laws/zakon-za-ogranichavane-na-administrativnoto-regulirane-i-administrativniya-kontrol-varhu-stopanskata-deynost.json
9395,40279,zakon-za-pchelarstvoto,"ЗАКОН за пчеларството",4,true,2023-12-08,2023-12-12,,,laws/zakon-za-pchelarstvoto.json
9416,40283,zakon-za-nyakoi-prava-na-licata-koito-sa-bili-prezidenti-na-republika-balgariya,"ЗАКОН за някои права на лицата, които са били президенти на Република България",4,true,2016-06-07,2016-06-11,,,laws/zakon-za-nyakoi-prava-na-licata-koito-sa-bili-prezidenti-na-republika-balgariya.json
9491,40300,zakon-za-transplantaciya-na-organi-takani-i-kletki,"ЗАКОН за трансплантация на органи, тъкани и клетки",4,true,2020-06-16,2020-06-16,,,laws/zakon-za-transplantaciya-na-organi-takani-i-kletki.json
9499,40307,zakon-za-zashtita-ot-diskriminaciya-zagl-izm-dv-br-68-ot-2006-g,"ЗАКОН за защита от дискриминация (Загл. изм. - ДВ, бр. 68 от 2006 г.)",4,true,2026-03-27,2026-03-31,,,laws/zakon-za-zashtita-ot-diskriminaciya-zagl-izm-dv-br-68-ot-2006-g.json
9524,4032,zakon-za-balgarskata-narodna-banka,"ЗАКОН за Българската народна банка",4,true,2025-08-05,2025-08-09,,,laws/zakon-za-balgarskata-narodna-banka.json
9533,40327,zakon-za-kravta-kravodaryavaneto-i-kravoprelivaneto,"ЗАКОН за кръвта, кръводаряването и кръвопреливането",4,true,2024-10-08,2024-10-08,,,laws/zakon-za-kravta-kravodaryavaneto-i-kravoprelivaneto.json
9534,40329,zakon-za-filmovata-industriya,"ЗАКОН за филмовата индустрия",4,true,2025-06-03,2026-01-01,,,laws/zakon-za-filmovata-industriya.json
9544,40332,zakon-za-energetikata,"ЗАКОН за енергетиката",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-energetikata.json
9577,4034,zakon-za-sobstvenostta,"ЗАКОН за собствеността",4,true,2022-03-04,2022-03-08,,,laws/zakon-za-sobstvenostta.json
9685,40393,zakon-za-garantiranite-vzemaniya-na-rabotnicite-i-sluzhitelite-pri-nesastoyatelnost-na-rabotodatelya,"ЗАКОН за гарантираните вземания на работниците и служителите при несъстоятелност на работодателя",4,true,2020-12-04,2021-01-01,,,laws/zakon-za-garantiranite-vzemaniya-na-rabotnicite-i-sluzhitelite-pri-nesastoyatelnost-na-rabotodatelya.json
9692,4040,zakon-za-oproshtavane-na-zadalzheniya-kam-darzhavata,"ЗАКОН за опрощаване на задължения към държавата",4,true,1964-09-15,1964-09-18,,,laws/zakon-za-oproshtavane-na-zadalzheniya-kam-darzhavata.json
9701,40409,zakon-za-advokaturata,"ЗАКОН за адвокатурата",4,true,2026-02-13,2026-02-17,,,laws/zakon-za-advokaturata.json
9704,4041,zakon-za-normativnite-aktove,"ЗАКОН за нормативните актове",4,true,2026-03-27,2026-03-31,,,laws/zakon-za-normativnite-aktove.json
9724,4042,zakon-za-grazhdanskoto-vazduhoplavane,"ЗАКОН за гражданското въздухоплаване",4,true,2026-04-01,2026-04-16,,,laws/zakon-za-grazhdanskoto-vazduhoplavane.json
9731,40426,zakon-za-zdraveto,"ЗАКОН за здравето",4,true,2026-02-10,2026-02-14,,,laws/zakon-za-zdraveto.json
9777,40453,zakon-za-opazvane-na-obshtestveniya-red-pri-provezhdaneto-na-sportni-meropriyatiya,"ЗАКОН за опазване на обществения ред при провеждането на спортни мероприятия",4,true,2020-03-22,2020-03-22,,,laws/zakon-za-opazvane-na-obshtestveniya-red-pri-provezhdaneto-na-sportni-meropriyatiya.json
9779,40455,zakon-za-zashtita-na-lica-zastrasheni-vav-vrazka-s-nakazatelno-proizvodstvo,"ЗАКОН за защита на лица, застрашени във връзка с наказателно производство",4,true,2021-09-24,2021-09-28,,,laws/zakon-za-zashtita-na-lica-zastrasheni-vav-vrazka-s-nakazatelno-proizvodstvo.json
